"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"lenovo sr250";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194664982;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 4lff";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192946197;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 4lff 1u";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 7d7qa016ea";"Сервера Lenovo Урал";87795544;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194663438;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 7y51";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192335014;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 7y51";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 7y51 cto1ww";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192335014;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 7y51 lenovo com";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 7y52";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";4;0;0,00;0,00;-;3,50;-;-;-;-
"lenovo sr250 7y52 совместимая память";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192441842;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";4;0;0,00;0,00;-;3,00;-;-;-;-
"lenovo sr250 e";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192335014;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 management port";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194664982;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr250 manual";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194664982;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr250 review";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 v2";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo SR250 V2 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 v2 review";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo SR250 V2 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr250 заблокирован пользователь bmc";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194664982;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"не определена";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192968555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo ThinkSystem SR530 - 5815338548928577995";5194661650;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530";"Сервера Lenovo Урал";87795544;"Lenovo ThinkSystem SR530 - 5815338548928577995";5194663423;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr530 7x08cto1ww";"Сервера Lenovo Урал";87795544;"Lenovo ThinkSystem SR530 - 5815338548928577995";5194663423;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530 bmc";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr530 specs";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr530 sr630 sliding rail kit 1u sm17a18045 17a18044 lenovo sr530 sr630 sliding rail kit 1u sm17a18045 17a18044 lenovo sr530 sr630 sliding rail kit 1u sm17a18045 17a18044 email print linkedin pinterest lenovo sr530 sr630 sliding rail kit";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530 xeon";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192968555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530 батарея raid";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr530 внешний вид";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr530 образ накатить";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr530 процессор";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr530 создание рейд массива";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"не определена";3;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr550";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192334992;"Lenovo SR550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr550";"Сервера Lenovo Сибирь";87794735;"Lenovo ThinkSystem SR550 - 4042967885481130338";5194659678;"Lenovo SR550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr550 7x04";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192334992;"Lenovo SR550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr550 spec";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192334992;"Lenovo SR550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr570";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR570 - 7941690042478765188";5192335007;"Lenovo SR570 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr590";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR590 - 1637914624274577352";5192441809;"Lenovo SR590 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr590 xeon bronze 3104";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR590 - 1637914624274577352";5192334981;"Lenovo SR590 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr630";"Сервера Lenovo Москва Н-Н";87673030;"Lenovo SR630";5192984893;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"lenovo sr630";"Сервера Lenovo Юг";87673229;"Lenovo SR630";5192986674;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR630";5192987685;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,50;-;-;-;-
"lenovo sr630";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR630";5194664988;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630";"Сервера Lenovo ДВосток";87795990;"Lenovo SR630";5194670938;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 2x 6226r 16c 2.9ghz 24x64gb 480gbx2 4x3.84tb 2x750w cto";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 2x 6226r 16c 2.9ghz 24x64gb 480gbx2 4x3.84tb 2x750w cto 7x01s0v400";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 2x 6226r 16c 2.9ghz 24x64gb 480gbx2 4x3.84tb 2x750w cto 7x01s0v400";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 7x02";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,50;-;-;-;-
"lenovo sr630 amd epic 9554";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 amd epyc";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 bmc";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 configurator";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 cpu upgrade kit";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 cpu upgrade kit intel";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 firmware";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 fqxspun0019m";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 gpu thermal kit";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 gpu upgrade kit";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 intel 4210r heatsink kit";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 jumper bmc spi0 half from en";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 manual";"Сервера Lenovo Юг";87673229;"Lenovo SR630";5192986674;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Широкие запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 parts list";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 s4bcc301 сервер приложений srv1 kcl кпп кабинет 209 шкаф no 1 у00005139";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"сервер lenovo SR630 -thinksystem -V2 -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 secure boot tmp";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 snmp";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 thermal kit";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 thermal kit upgrade";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 v1 parts list";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 v1 thermal kit";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo sr630 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"не определена";2;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr630 v2";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630 V2";5194661670;"lenovo sr630 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 v2 10sff xeon g 6326";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo sr630 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr630 yadro";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 внешний вид";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr630 максимальное число сокетов";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr635 1xamd epyc 7443p 24c 6x64gb 32gbx2 2x1100w cto 7y98s06b0";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR635 - 2785872760011704628";5192946170;"Lenovo SR635 -ThinkSystem -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr645 fan";"Сервера Lenovo ЦФО";87636764;"Lenovo SR645";5192441844;"Lenovo SR645 -ThinkSystem -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr645 fan option";"Сервера Lenovo ЦФО";87636764;"Lenovo SR645";5192441844;"Lenovo SR645 -ThinkSystem -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650";5192441845;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo Казань";87672746;"Lenovo SR650";5192982410;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo Казань";87672746;"Lenovo SR650";5192982410;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo Юг";87673229;"Lenovo SR650";5192986671;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,50;-;-;-;-
"lenovo sr650";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR650";5192987682;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87700156;"Lenovo SR650";5193218681;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;1,67;-;-;-;-
"lenovo sr650";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87700156;"Lenovo SR650";5193218681;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";5;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR650";5194664985;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,50;-;-;-;-
"lenovo sr650 5350 8i 2x1100w 4210r 10c ram 2x32gb ssd 2x240gb net 2x1gbe";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR650";5194664985;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
